customer_id,signup_date,age,region,plan,tenure_months,num_devices,monthly_charges,discount_pct,is_autopay,avg_session_minutes,sessions_last_30d,last_login_days_ago,support_tickets_90d,payment_failures_12m,satisfaction_score,churn,total_charges
CUST0023588,2022-04-29,58.0,West,Standard,32,3,59.48,0,0,27.9,14,0,1,1,3.0,0,1903.36
CUST0006508,2022-03-11,47.0,West,Basic,34,4,40.57,25,0,23.2,17,4,1,0,5.0,0,1034.54
CUST0046297,2023-06-05,63.0,South,Standard,19,1,57.78,5,0,,13,7,3,2,3.0,0,1042.93
CUST0045641,2024-09-14,62.0,East,Premium,3,2,114.13,0,1,13.3,1,3,2,1,2.0,0,342.39
CUST0012961,2024-01-05,20.0,Central,Basic,12,2,20.13,0,0,30.6,10,11,2,1,,0,241.56
CUST0036275,2022-02-20,63.0,Central,Standard,34,3,63.02,0,0,24.7,18,33,0,0,4.0,0,2142.68
CUST0041919,2023-11-18,53.0,Central, Premium,13,2,98.22,0,0,28.8,12,48,0,0,3.0,1,1276.86
CUST0000612,2024-10-12,63.0,North,Standard,2,3,60.83,0,1,32.6,11,11,2,0,3.0,0,
CUST0035682,2023-07-07,55.0,North,Basic,18,2,38.1,0,0,24.4,6,22,1,1,2.0,0,685.8
CUST0049421,2024-08-28,51.0,East,Standard,4,2,60.07,0,1,,5,13,3,0,3.0,0,240.28
CUST0031953,2024-05-28,20.0,Central,Basic,7,2,26.01,0,1,32.1,11,3,0,1,5.0,0,182.07
CUST0046646,2022-05-20,34.0,West,Standard,31,4,83.0,0,1,30.5,10,11,1,0,3.0,0,2573.0
CUST0024265,2024-07-03,27.0,Central,Premium,6,1,93.82,0,1,8.8,7,10,1,1,3.0,0,562.92
CUST0020951,2024-08-26,41.0,EAST,Premium,4,4,105.8,0,1,45.1,11,8,1,0,4.0,0,423.2
CUST0005715,2020-09-09,30.0,South,Basic,52,2,29.93,5,0,30.2,9,6,0,0,3.0,0,1478.54
CUST0036218,2022-01-02,35.0,South,Standard,36,1,54.98,0,1,68.9,19,1,0,0,4.0,0,1979.28
CUST0005303,2024-04-12,54.0,West,Standard,8,2,66.81,0,1,17.0,7,5,0,0,4.0,0,534.48
CUST0008370,2022-09-28,49.0,South,Basic,27,4,41.77,15,1,26.2,6,10,1,0,,0,958.62
CUST0015821,2022-06-22,36.0,South,Standard,30,4,76.01,15,1,16.7,7,9,0,1,4.0,0,1938.26
CUST0030461,2024-07-31,25.0,Central,Standard,5,5,75.14,0,0,11.2,15,9,1,1,,0,375.7
CUST0032464,2024-04-28,47.0,SOUTH,Basic,8,1,29.45,0,1,24.8,15,0,1,0,4.0,0,235.6
CUST0045505,2023-03-09,45.0,North,Standard,22,3,64.03,5,1,36.4,9,38,1,0,4.0,0,1338.23
CUST0049519,2023-11-11,45.0,East,Standard,13,2,63.76,25,0,27.1,9,13,1,1,4.0,0,621.66
CUST0016590,2024-04-09,28.0,Central,Standard,8,3,72.59,0,0,11.2,2,0,1,0,,0,580.72
CUST0031325,2023-12-09,30.0,Central,Basic,12,1,21.26,15,1,11.7,6,7,0,1,3.0,0,216.85
CUST0045826,2022-04-02,18.0,South,Basic,33,2,37.2,0,1,11.0,6,5,0,1,,0,1227.6
CUST0010056,2024-05-07,43.0,North,Basic,7,2,34.77,10,0,30.1,18,3,0,0,,0,219.05
CUST0028822,2024-03-14,18.0,South,Basic,9,3,29.3,0,1,39.1,14,4,2,1,3.0,0,263.7
CUST0002685,2023-05-15,31.0,South,Basic,19,1,33.48,0,0,13.0,11,9,2,0,2.0,0,636.12
CUST0032671,2023-11-24,26.0,North,Standard,13,3,67.43,0,1,28.8,17,3,2,0,4.0,1,876.59
CUST0018351,2022-10-21,36.0,East,Basic,26,2,34.55,0,1,,13,20,0,0,3.0,0,898.3
CUST0009054,2024-06-10,45.0,South,Standard,6,1,59.03,0,1,16.5,4,27,2,1,2.0,0,354.18
CUST0040387,2021-09-24,44.0,North,Basic,39,4,36.82,20,1,13.0,8,4,1,1,,0,1148.78
CUST0035966,2023-09-09,73.0,Central,Basic,15,1,28.45,0,0,22.9,5,8,0,1,3.0,0,426.75
CUST0045410,2023-04-09,50.0,East,Standard,21,2,64.97,0,1,12.6,4,5,1,1,2.0,0,1364.37
CUST0003597,2021-12-30,39.0,East,Premium,36,4,106.29,20,0,,14,13,0,1,4.0,0,3061.15
CUST0027367,2022-06-24,57.0,SOUTH,Premium,30,3,99.87,25,0,13.0,5,36,0,1,2.0,0,2247.08
CUST0031395,2022-08-23,58.0,Central,Standard,28,4,71.34,10,0,24.4,3,22,3,1,2.0,1,1797.77
CUST0039866,2024-02-17,28.0,Central,Premium,10,2,105.11,0,0,29.7,8,37,1,2,3.0,1,1051.1
CUST0035903,2021-04-28,52.0,West,Basic,44,7,51.04,10,0,22.7,9,5,0,2,3.0,0,2021.18
CUST0010170,2023-12-25,48.0,West,Basic,12,4,37.92,0,1,33.1,10,10,3,0,3.0,0,455.04
CUST0001344,2023-10-02,47.0,South,Standard,15,3,71.77,0,1,18.0,6,12,2,0,2.0,0,1076.55
CUST0034420,2022-11-16,31.0,West,Standard,25,4,66.81,25,0,37.0,20,2,0,1,,0,1252.69
CUST0013499,2024-06-23,42.0,Central,Basic,6,5,53.46,0,0,,5,62,3,1,2.0,0,320.76
CUST0000029,2020-04-17,22.0,West,Basic,57,2,36.5,0,1,36.6,18,12,1,2,3.0,0,2080.5
CUST0040562,2021-08-22,21.0,North,Basic,40,2,36.62,0,1,28.3,12,9,0,0,5.0,0,1464.8
CUST0049525,2023-01-09,37.0,West,Basic,24,4,49.12,0,1,14.7,11,0,0,0,4.0,0,1178.88
CUST0020440,2023-09-04,43.0,Central,Basic,16,4,37.9,0,0,19.8,10,3,0,0,3.0,0,606.4
CUST0015864,2023-11-15,32.0,Central,Premium,13,1,98.21,5,1,,4,17,0,0,2.0,0,1212.89
CUST0008102,2020-06-11,45.0,South,Basic,55,2,35.21,0,0,26.2,10,3,1,0,4.0,0,1936.55
CUST0017734,2024-04-24,39.0,West,Basic,8,2,38.02,0,0,19.5,3,14,3,1,,0,304.16
CUST0010272,2020-10-11,32.0,North,Premium,51,3,113.23,0,1,13.7,9,7,0,0,4.0,0,5774.73
CUST0030723,2024-03-26,47.0,South,Basic,9,4,48.44,25,0,7.9,3,50,1,0,3.0,0,326.97
CUST0039529,2023-04-30,36.0,North,Basic,20,4,38.21,10,1,18.3,13,11,1,0,5.0,0,687.78
CUST0016462,2023-12-16,39.0,East,Premium,12,4,114.12,0,1,13.7,6,7,2,0,2.0,0,1369.44
CUST0022835,2024-08-15,70.0,South,Premium,4,2,112.35,0,1,60.6,21,1,0,0,4.0,0,449.4
CUST0033779,2024-01-18,63.0,West,Standard,11,3,68.83,0,1,8.9,1,7,4,0,1.0,0,757.13
CUST0017444,2024-07-08,32.0,West,Standard,5,4,67.42,0,1,18.0,4,18,2,1,2.0,0,337.1
CUST0039311,2023-03-29,20.0,WEST,Standard,21,4,77.81,0,1,31.0,17,1,0,0,5.0,0,1634.01
CUST0003876,2023-02-20,71.0,West,Basic,22,2,38.64,0,0,11.6,12,1,0,0,4.0,0,850.08
CUST0010199,2023-07-26,33.0,South,Standard,17,2,59.18,0,0,20.4,10,29,1,0,2.0,0,1006.06
CUST0044999,2024-04-10,43.0,North,Basic,8,2,28.45,25,1,15.1,9,1,0,0,4.0,0,170.7
CUST0010027,2024-07-08,50.0,South,Premium,5,4,111.82,0,1,6.5,5,22,2,0,3.0,0,559.1
CUST0003379,2022-08-03,34.0,South,Standard,29,4,76.39,0,1,15.4,4,13,0,0,3.0,0,2215.31
CUST0047230,2022-05-16,44.0,NORTH,Basic,32,4,40.17,0,0,8.8,7,7,1,1,2.0,0,1285.44
CUST0042212,2022-09-30,43.0,South,Basic,27,5,50.61,0,1,90.2,13,6,0,1,5.0,0,1366.47
CUST0044277,2022-12-02,36.0,South,Basic,25,2,28.53,20,1,4.0,6,122,1,0,,1,570.6
CUST0004141,2023-04-20,37.0,West,Basic,20,3,38.53,25,0,43.5,19,1,2,0,2.0,0,577.95
CUST0049671,2023-12-21,30.0,South,Premium,12,3,106.68,0,0,36.7,25,1,1,0,4.0,0,1280.16
CUST0004134,2024-06-06,34.0,South,Standard,6,2,61.96,0,0,49.6,14,1,0,0,3.0,0,371.76
CUST0008999,2024-05-15,32.0,East,Premium,7,3,105.3,0,1,7.8,4,22,0,0,3.0,1,737.1
CUST0014502,2024-02-28,54.0,North,Premium,10,2,105.67,0,0,30.9,22,4,0,0,,0,1056.7
CUST0015978,2019-01-11,,Central,Premium,72,1,106.85,5,1,25.7,7,6,0,1,2.0,0,7308.54
CUST0013661,2023-09-27,60.0,North,Standard,15,3,71.41,0,1,,19,15,1,0,4.0,0,1071.15
CUST0045195,2024-06-22,37.0,North,Basic,6,2,37.65,15,0,5.9,5,16,2,1,1.0,1,192.02
CUST0014976,2021-12-08,30.0,South,Standard,37,2,68.55,0,1,15.9,17,0,0,0,5.0,0,2536.35
CUST0035857,2021-06-07,18.0,West,Standard,43,3,75.62,0,1,58.7,12,2,1,0,4.0,0,3251.66
CUST0025931,2023-02-28,28.0,East,Basic,22,4,43.76,20,1,16.4,7,11,0,0,3.0,0,770.18
CUST0047154,2022-12-01,34.0,North,Basic,25,4,49.02,0,0,7.9,5,12,0,0,,0,1225.5
CUST0026336,2022-05-19,44.0,East,Basic,31,3,35.7,0,1,19.2,6,5,2,1,2.0,0,1106.7
CUST0025639,2022-07-02,40.0,South,Basic,30,4,38.12,25,1,25.9,6,2,1,0,4.0,0,857.7
CUST0019900,2024-03-21,26.0,South,Basic,9,3,38.29,25,1,28.1,9,0,0,0,,0,258.46
CUST0039323,2024-01-27,43.0,West,Basic,11,4,41.63,0,0,29.7,9,17,3,0,,0,457.93
CUST0011128,2024-03-01,36.0,East,Basic,10,1,22.65,0,0,13.4,7,33,1,0,2.0,0,226.5
CUST0021673,2022-08-21,19.0,West,Basic,28,2,35.34,0,0,15.1,5,8,2,0,4.0,0,989.52
CUST0043021,2023-01-18,,South,Basic,23,2,40.48,0,0,18.5,6,11,0,0,4.0,0,931.04
CUST0014857,2023-10-29,,East,Standard,14,1,62.21,0,1,18.1,9,10,0,0,4.0,0,870.94
CUST0041649,2022-09-28,40.0,North,Basic,27,2,34.41,0,0,26.5,7,15,2,0,3.0,0,929.07
CUST0015136,2023-11-09,18.0,South,Standard,13,2,61.18,10,1,17.8,15,17,0,0,5.0,0,715.81
CUST0044863,2023-07-28,52.0,Central,Basic,17,3,36.37,0,0,,18,20,0,3,4.0,1,618.29
CUST0028571,2024-07-31,31.0,South,Standard,5,5,78.79,0,1,18.3,7,29,2,0,2.0,0,393.95
CUST0021603,2020-08-24,44.0,South,Premium,53,3,110.43,0,0,56.9,39,0,0,0,5.0,0,5852.79
CUST0024834,2023-08-14,47.0,Central,Basic,16,3,42.79,0,0,16.0,2,10,1,0,,0,684.64
CUST0017842,2022-10-12,48.0,North,Basic,27,3,44.27,15,1,21.7,14,4,0,1,3.0,0,1016.0
CUST0024190,2022-12-26,35.0,Central,Basic,24,2,25.73,0,0,26.3,10,4,0,2,4.0,0,617.52
CUST0016334,2023-01-15,18.0,West,Standard,23,2,53.83,0,1,27.0,7,7,0,1,3.0,0,1238.09
CUST0029349,2023-07-05,31.0,South,Basic,18,2,34.14,0,1,21.7,7,7,1,0,3.0,0,614.52
CUST0022929,2023-07-21,51.0,South,Basic,17,3,48.81,20,1,,6,8,1,0,2.0,0,663.82
CUST0033967,2022-05-30,36.0,East,Basic,31,1,37.1,0,0,49.7,16,4,1,1,,0,1150.1
CUST0033696,2022-09-05,22.0,North,Basic,28,3,40.94,0,0,19.9,10,5,0,0,4.0,0,1146.32
CUST0041092,2024-03-03,37.0,North,Standard,10,5,71.2,25,1,23.1,12,28,1,0,3.0,0,534.0
CUST0049820,2020-03-04,52.0,North,Standard,58,3,67.44,0,1,41.7,19,0,0,0,4.0,0,3911.52
CUST0011316,2023-04-19,75.0,North,Basic,20,1,24.98,0,1,7.8,1,31,0,1,,0,499.6
CUST0049661,2023-08-19,49.0,South,Standard,16,2,66.72,0,0,8.0,10,19,2,1,1.0,0,1067.52
CUST0025051,2023-12-15,40.0,North,Basic,12,3,40.09,0,0,20.6,12,7,1,1,3.0,0,481.08
CUST0028830,2022-07-06,,West,Basic,30,2,33.24,0,0,49.8,6,8,1,0,,0,997.2
CUST0011970,2023-09-21,56.0,Central,Basic,15,2,42.77,0,1,69.4,15,7,2,0,4.0,0,641.55
CUST0020263,2022-11-04,54.0,South,Basic,26,4,31.12,0,1,21.5,11,42,1,0,3.0,0,809.12
CUST0027613,2023-03-03,37.0,North,Basic,22,2,21.61,0,0,6.5,4,14,2,1,1.0,0,475.42
CUST0017949,2022-10-02,31.0,East,Basic,27,4,52.41,0,1,18.8,7,5,0,0,4.0,0,1415.07
